model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
Linear,csi_4,far,5172,2064.2055428744743,33.147529398988276,-6.274277696318497,4.468789294711915
W,csi_4,normal,2592,0.24262920022010803,-6.15056933348551,-7.679316180507804,-6.089702916701616
Hold,csi_4,normal,2592,0.22816611353049523,-6.417488550952848,-11.111364101453535,-6.351838797553149
Linear,csi_4,normal,2592,21.700183716502107,13.364634106561494,-5.968591583025625,13.392184630331045
W,csi_4,maneuver,2592,0.13347958028316498,-8.74585167622519,-9.465801123646488,-8.674093672008894
Hold,csi_4,maneuver,2592,0.0884760458458659,-10.53174295009702,-15.520187217587962,-10.367051274268604
Linear,csi_4,maneuver,2592,4.396081843965608,6.430657692955306,-11.3919131484922,6.336501288964024
W,csi_4,occlusion,5172,12.056093215942383,10.812065972207174,-3.159016437069562,-0.128731199310687
Hold,csi_4,occlusion,5172,59.544895391613174,17.74844536628599,-4.474116717364343,-0.06427959210239935
Linear,csi_4,occlusion,5172,2178.4190481013616,33.381414258204984,0.13029296840116328,5.404876099482391
W,csi_4,far_maneuver,1296,0.10502372682094574,-9.787125746125296,-10.242844389497064,-9.780839887618374
Hold,csi_4,far_maneuver,1296,0.021566740474462286,-16.662154877636276,-19.31883415148206,-16.74521937257754
Linear,csi_4,far_maneuver,1296,2.981177961445224,4.743879020194682,-13.867488962492587,4.87088987676427
W,csi_4,far_normal,1296,0.16201172769069672,-7.904535466486965,-8.831578717178466,-7.8398928892278175
Hold,csi_4,far_normal,1296,0.08742774889364299,-10.58350703764818,-15.552158021907225,-10.416593537434123
Linear,csi_4,far_normal,1296,3.7987007618785102,5.796350838723234,-9.39476434694106,5.616545599887887
W,csi_4,far_occlusion,2580,23.185571670532227,13.652178084611455,-0.8555300671742194,-0.04769804708929328
Hold,csi_4,far_occlusion,2580,116.94629653782474,20.679864730998215,-1.7707623078394599,0.0017251034683697676
Linear,csi_4,far_occlusion,2580,4134.606335240835,36.16434165745541,2.149144532584138,4.43918393638268
W,csi_4,near_maneuver,1296,0.16193543374538422,-7.906581111209862,-8.659646648428549,-7.784824581815661
Hold,csi_4,near_maneuver,1296,0.15538535121726954,-8.085899262389455,-10.27053935507858,-7.868850839284268
Linear,csi_4,near_maneuver,1296,5.810985726485992,7.642498086833122,-8.803489021559956,7.440117683907492
W,csi_4,near_normal,1296,0.32324668765068054,-4.904659166947516,-5.587441859087057,-4.834710055253358
Hold,csi_4,near_normal,1296,0.3689044781673475,-4.33086072798234,-5.675526814241966,-4.27291064702096
Linear,csi_4,near_normal,1296,39.6016666711257,15.977134639770627,-1.382568353799002,16.044073254546987
W,csi_4,near_occlusion,2592,0.9781387448310852,-0.0959953801322297,-4.941498952228922,-2.6843834263844397
Hold,csi_4,near_occlusion,2592,2.4092414729303617,3.8188033055274255,-6.09414321119513,-2.01399905915986
Linear,csi_4,near_occlusion,2592,231.2881835875341,23.641534454216423,-1.9001557788193368,12.970345759562248
W,csi_4,los,8656,0.2589629590511322,-5.867623510929862,-8.165889420401074,-0.3874963524050265
